Placa,Alias,Fecha,Hora,Velocidad,lon,lat
PZO0557,TCT07-2549,2019-08-26,07:40:46,69,-78.49279785,-0.218645006
PZO0557,TCT07-2549,2019-08-26,07:40:51,77,-78.49365997,-0.219061106
PZO0557,TCT07-2549,2019-08-26,07:40:56,78,-78.49452972,-0.219515011
PZO0557,TCT07-2549,2019-08-26,07:41:01,80,-78.49514008,-0.220308334
PZO0557,TCT07-2549,2019-08-26,07:41:06,87,-78.4953537,-0.221351668
PZO0557,TCT07-2549,2019-08-26,07:41:11,85,-78.49565887,-0.222395003
PZO0557,TCT07-2549,2019-08-26,07:41:16,73,-78.49620819,-0.223246664
PZO0557,TCT07-2549,2019-08-26,10:53:18,64,-78.49230194,-0.21836333
PZO0557,TCT07-2549,2019-08-26,10:53:23,76,-78.49304962,-0.218830004
PZO0557,TCT07-2549,2019-08-26,10:53:28,85,-78.4940033,-0.21920833
PZO0557,TCT07-2549,2019-08-26,10:53:33,87,-78.49489594,-0.219830006
PZO0557,TCT07-2549,2019-08-26,10:53:38,90,-78.49534607,-0.220863327
PZO0557,TCT07-2549,2019-08-26,10:53:43,90,-78.49552917,-0.222012773
PZO0557,TCT07-2549,2019-08-26,10:53:48,86,-78.49602509,-0.223006666
PZO0557,TCT07-2549,2019-08-26,10:53:53,75,-78.49652863,-0.223901674
PZO0557,TCT07-2549,2019-08-26,10:53:58,80,-78.49698639,-0.224743336
PZO0557,TCT07-2549,2019-08-26,10:54:03,85,-78.49755859,-0.225636676
PZO0557,TCT07-2549,2019-08-26,10:54:08,83,-78.49829102,-0.226386681
PZO0557,TCT07-2549,2019-08-26,10:54:13,86,-78.49923706,-0.226858333
PZO0557,TCT07-2549,2019-08-26,10:54:18,81,-78.50005341,-0.227528334
PZO0557,TCT07-2549,2019-08-26,10:54:23,60,-78.50061035,-0.228216663
PZO0557,TCT07-2549,2019-08-26,10:54:58,69,-78.50150299,-0.230211675
PZO0557,TCT07-2549,2019-08-26,10:55:03,79,-78.50212097,-0.230916664
PZO0557,TCT07-2549,2019-08-26,11:40:23,67,-78.49536133,-0.222012773
PZO0557,TCT07-2549,2019-08-26,11:40:28,74,-78.49516296,-0.221143335
PZO0557,TCT07-2549,2019-08-26,11:40:33,72,-78.49494934,-0.220248327
PZO0557,TCT07-2549,2019-08-26,11:40:38,63,-78.49445343,-0.21955277
PZO0557,TCT07-2549,2019-08-26,11:40:43,60,-78.49375916,-0.219168335
PZO0557,TCT07-2549,2019-08-26,11:40:48,60,-78.49305725,-0.218889996
PZO0557,TCT07-2549,2019-08-26,11:40:53,60,-78.49240875,-0.21852833
PZO0557,TCT07-2549,2019-08-26,13:23:53,63,-78.48230743,-0.183614999
PZO0557,TCT07-2549,2019-08-26,13:45:42,66,-78.49259949,-0.218524992
PZO0557,TCT07-2549,2019-08-26,13:45:47,73,-78.49339294,-0.218950003
PZO0557,TCT07-2549,2019-08-26,13:45:52,77,-78.4942627,-0.219338343
PZO0557,TCT07-2549,2019-08-26,13:45:57,83,-78.49500275,-0.220035002
PZO0557,TCT07-2549,2019-08-26,13:46:02,80,-78.49531555,-0.221043333
PZO0557,TCT07-2549,2019-08-26,13:46:07,76,-78.49549866,-0.222004995
PZO0557,TCT07-2549,2019-08-26,13:46:12,68,-78.49594116,-0.222805008
PZO0557,TCT07-2549,2019-08-26,13:46:17,61,-78.49634552,-0.223495007
PZO0557,TCT07-2549,2019-08-26,13:46:52,62,-78.4994812,-0.226838335
PZO0557,TCT07-2549,2019-08-26,14:37:42,68,-78.49577332,-0.222826675
PZO0557,TCT07-2549,2019-08-26,14:37:47,74,-78.49534607,-0.22202
PZO0557,TCT07-2549,2019-08-26,14:37:52,78,-78.49515533,-0.221098334
PZO0557,TCT07-2549,2019-08-26,14:37:57,79,-78.49490356,-0.220145002
PZO0557,TCT07-2549,2019-08-26,14:38:02,72,-78.49429321,-0.219420001
PZO0557,TCT07-2549,2019-08-26,14:38:07,68,-78.49349213,-0.219019994
PZO0557,TCT07-2549,2019-08-26,14:38:12,70,-78.49266052,-0.218650013
PZO0557,TCT07-2549,2019-08-26,14:38:17,62,-78.4919281,-0.218250006
PZO0557,TCT07-2549,2019-08-26,14:38:56,62,-78.49009705,-0.214533329
PZO0557,TCT07-2549,2019-08-26,16:38:41,61,-78.48462677,-0.204479992
PZO0557,TCT07-2549,2019-08-26,16:50:13,65,-78.49286652,-0.218655005
PZO0557,TCT07-2549,2019-08-26,16:50:18,76,-78.4936676,-0.219029993
PZO0557,TCT07-2549,2019-08-26,16:50:23,77,-78.49452972,-0.219513342
PZO0557,TCT07-2549,2019-08-26,16:50:28,72,-78.49510193,-0.220269993
PZO0557,TCT07-2549,2019-08-26,16:50:43,62,-78.49562073,-0.222341672
PZO0557,TCT07-2549,2019-08-26,16:52:23,62,-78.50218201,-0.231068343
PZO0557,TCT07-2549,2019-08-26,19:57:05,61,-78.49417877,-0.219256669
PZO0557,TCT07-2549,2019-08-26,19:57:10,70,-78.49481964,-0.219796672
PZO0557,TCT07-2549,2019-08-26,19:57:15,75,-78.495224,-0.220643327
PZO0557,TCT07-2549,2019-08-26,19:57:20,71,-78.49536896,-0.221551672
PZO0557,TCT07-2549,2019-08-26,19:57:25,61,-78.49563599,-0.222330004
PZO0557,TCT07-2549,2019-08-26,19:57:30,62,-78.4960556,-0.223001674
PZO0557,TCT07-2549,2019-08-27,07:01:48,64,-78.4851532,-0.204801664
PZO0557,TCT07-2549,2019-08-27,07:01:53,63,-78.48441315,-0.204393342
PZO0557,TCT07-2549,2019-08-27,07:02:53,63,-78.48291016,-0.201826662
PZO0557,TCT07-2549,2019-08-27,07:08:46,61,-78.48204041,-0.182933331
PZO0557,TCT07-2549,2019-08-27,07:09:41,63,-78.4812088,-0.17802833
PZO0557,TCT07-2549,2019-08-27,07:09:46,61,-78.48100281,-0.177231103
PZO0557,TCT07-2549,2019-08-27,08:33:43,61,-78.48246765,-0.184575006
PZO0557,TCT07-2549,2019-08-27,09:43:48,69,-78.49562073,-0.222465008
PZO0557,TCT07-2549,2019-08-27,09:43:53,72,-78.49526215,-0.221649438
PZO0557,TCT07-2549,2019-08-27,09:43:58,76,-78.49511719,-0.220715001
PZO0557,TCT07-2549,2019-08-27,09:44:03,68,-78.49478149,-0.219891116
PZO0557,TCT07-2549,2019-08-27,09:44:08,63,-78.4941864,-0.219328344
PZO0557,TCT07-2549,2019-08-27,11:13:29,63,-78.47913361,-0.165656105
PZO0557,TCT07-2549,2019-08-27,11:13:34,69,-78.47927856,-0.166513339
PZO0557,TCT07-2549,2019-08-27,11:53:06,65,-78.49217224,-0.218275011
PZO0557,TCT07-2549,2019-08-27,11:53:11,72,-78.49293518,-0.218723327
PZO0557,TCT07-2549,2019-08-27,11:53:16,68,-78.49376678,-0.219095007
PZO0557,TCT07-2549,2019-08-27,11:53:21,64,-78.49449921,-0.219471663
PZO0557,TCT07-2549,2019-08-27,11:53:26,66,-78.49502563,-0.220078334
PZO0557,TCT07-2549,2019-08-27,11:53:31,67,-78.49533844,-0.22089
